ReportTitle
Kleine Hochschulstatistik im WiSe 2021/22

Standort,Textbox24,StudDeutschW3,StudDeutsch1HS,StudAusland1HSW,StudDeutsch1FS,StudDeutsch1FSW,StudAusland,StudAuslandW,StudAusland1HSW1,StudAusland1HSW5,StudAusland1FS,StudDeutsch1FSW2,Stud1HS,Stud1FS,Textbox176,Organisation1,Textbox28,Textbox42,StudDeutsch1HS1,Textbox63,Textbox72,Textbox81,Textbox89,Textbox114,Textbox131,StudAusland1HSW4,Textbox156,StudDeutsch1FSW3,Textbox163,Textbox170,Textbox177,Studiengang1,StudDeutsch1,Textbox43,Textbox57,Textbox64,Textbox73,Textbox83,Textbox90,Textbox115,Textbox132,StudAusland1HSW3,Textbox157,StudDeutsch1FSW1,Textbox164,Textbox171,Textbox178,Textbox19,Textbox44,Textbox58,Textbox65,Textbox74,Textbox84,Textbox102,Textbox116,Textbox133,StudAusland1HSW2,Textbox158,StudAusland1FSW1,Textbox165,Textbox172,Textbox179
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,  Maschinenbau mit Praxissemester,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,  Mechatronic Systems Engineering,73,2,0,0,21,2,2,0,0,0,1,0,0,22,75,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,  Mechatronik,95,5,23,1,25,3,10,1,3,0,3,0,26,28,105,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,  Media & Interaction Design,153,95,19,14,23,16,2,2,0,0,0,0,19,23,155,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,  Werkstofftechnik,18,2,0,0,2,0,2,1,0,0,0,0,0,2,20,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Wirtschafts- und Sozialwissenschaften,4880,3092,678,449,954,604,360,240,123,85,67,44,801,1021,5240,  Allgemeine Verwaltung,59,45,23,19,29,24,0,0,0,0,0,0,23,29,59,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Wirtschafts- und Sozialwissenschaften,4880,3092,678,449,954,604,360,240,123,85,67,44,801,1021,5240,"  Auditing, Finance and Taxation",35,17,0,0,0,0,0,0,0,0,0,0,0,0,35,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Wirtschafts- und Sozialwissenschaften,4880,3092,678,449,954,604,360,240,123,85,67,44,801,1021,5240,  Betriebliches Informationsmanagement,118,26,19,4,24,5,17,5,2,1,6,2,21,30,135,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Wirtschafts- und Sozialwissenschaften,4880,3092,678,449,954,604,360,240,123,85,67,44,801,1021,5240,  Betriebswirtschaft (dual) - WiSo,104,56,23,13,25,14,1,1,0,0,0,0,23,25,105,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Wirtschafts- und Sozialwissenschaften,4880,3092,678,449,954,604,360,240,123,85,67,44,801,1021,5240,  Betriebswirtschaft im Gesundheitswesen,241,165,35,26,41,30,5,3,1,1,1,1,36,42,246,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
